trace_id;group;exam;practice;t6;final
99999;g_999;ex_MH;pr_MH;t6_MH;f_MH
79626;g_912;ex_Notable;pr_Notable;t6_Notable;f_Notable
77420;g_912;ex_Sobresaliente;pr_Sobresaliente;t6_Sobresaliente;f_Mat_honor
81500;g_912;ex_NP;pr_NP;t6_NP;f_NP
81078;g_912;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Aprobado
79059;g_912;ex_NP;pr_Suspenso;t6_Suspenso;f_NP
81573;g_912;ex_Aprobado;pr_Sobresaliente;t6_Aprobado;f_Aprobado
81365;g_912;ex_NP;pr_NP;t6_NP;f_NP
78119;g_912;ex_Suspenso;pr_Suspenso;t6_Aprobado;f_Suspenso
85064;g_912;ex_Suspenso;pr_Suspenso;t6_Suspenso;f_Suspenso
81342;g_912;ex_NP;pr_Suspenso;t6_NP;f_NP
64100;g_912;ex_Suspenso;pr_Sobresaliente;t6_Suspenso;f_Suspenso
66386;g_912;ex_Aprobado;pr_Notable;t6_Suspenso;f_Aprobado
65864;g_912;ex_NP;pr_NP;t6_NP;f_NP
64356;g_912;ex_Notable;pr_Notable;t6_Aprobado;f_Notable
81208;g_912;ex_NP;pr_Suspenso;t6_Suspenso;f_NP
78056;g_912;ex_Aprobado;pr_Notable;t6_Notable;f_Aprobado
81450;g_912;ex_NP;pr_Aprobado;t6_NP;f_NP
81574;g_912;ex_NP;pr_Aprobado;t6_NP;f_NP
81028;g_912;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
85069;g_912;ex_NP;pr_Aprobado;t6_NP;f_NP
81550;g_912;ex_NP;pr_Aprobado;t6_NP;f_NP
78508;g_912;ex_Notable;pr_Sobresaliente;t6_Notable;f_Notable
66724;g_912;ex_Suspenso;pr_Sobresaliente;t6_Suspenso;f_Suspenso
81313;g_911;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
81020;g_912;ex_NP;pr_NP;t6_NP;f_NP
70260;g_912;ex_Suspenso;pr_Notable;t6_Aprobado;f_Suspenso
77530;g_912;ex_Suspenso;pr_Aprobado;t6_Aprobado;f_Aprobado
78575;g_912;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Aprobado
80413;g_912;ex_Suspenso;pr_Sobresaliente;t6_Aprobado;f_Aprobado
77802;g_912;ex_NP;pr_Aprobado;t6_Suspenso;f_NP
81378;g_912;ex_NP;pr_Aprobado;t6_NP;f_NP
66918;g_912;ex_Suspenso;pr_Sobresaliente;t6_Suspenso;f_Suspenso
66450;g_912;ex_Suspenso;pr_Sobresaliente;t6_Suspenso;f_Suspenso
79153;g_912;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
51619;g_912;ex_Suspenso;pr_Notable;t6_Aprobado;f_Aprobado
77249;g_911;ex_Notable;pr_Sobresaliente;t6_Suspenso;f_Notable
81537;g_911;ex_Suspenso;pr_Notable;t6_Suspenso;f_Suspenso
81210;g_912;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
86329;g_912;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
78449;g_912;ex_NP;pr_Notable;t6_Aprobado;f_NP
81384;g_912;ex_Suspenso;pr_Aprobado;t6_Aprobado;f_Suspenso
66138;g_912;ex_NP;pr_NP;t6_Suspenso;f_NP
81307;g_912;ex_Aprobado;pr_Notable;t6_Aprobado;f_Aprobado
79550;g_912;ex_Sobresaliente;pr_Sobresaliente;t6_Aprobado;f_Mat_honor
77394;g_912;ex_Notable;pr_Notable;t6_Aprobado;f_Notable
81327;g_912;ex_NP;pr_NP;t6_NP;f_NP
77120;g_912;ex_Notable;pr_Notable;t6_Sobresaliente;f_Notable
81516;g_912;ex_Suspenso;pr_Notable;t6_Aprobado;f_Suspenso
81328;g_912;ex_Suspenso;pr_Aprobado;t6_Aprobado;f_Suspenso
81093;g_912;ex_NP;pr_Suspenso;t6_NP;f_NP
86311;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
81045;g_911;ex_Suspenso;pr_Suspenso;t6_Aprobado;f_Suspenso
77035;g_911;ex_Sobresaliente;pr_Sobresaliente;t6_Aprobado;f_Sobresaliente
80930;g_911;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
77908;g_911;ex_Aprobado;pr_Sobresaliente;t6_Suspenso;f_Aprobado
81310;g_911;ex_Suspenso;pr_Suspenso;t6_NP;f_Suspenso
79651;g_911;ex_Suspenso;pr_Notable;t6_Suspenso;f_Suspenso
79544;g_911;ex_Suspenso;pr_Aprobado;t6_Aprobado;f_Suspenso
81321;g_911;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
81382;g_911;ex_Suspenso;pr_Suspenso;t6_Suspenso;f_Suspenso
85078;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
65850;g_911;ex_Notable;pr_Notable;t6_Aprobado;f_Notable
81095;g_911;ex_NP;pr_NP;t6_NP;f_NP
79264;g_911;ex_Notable;pr_Notable;t6_Suspenso;f_Notable
80656;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
64941;g_912;ex_Suspenso;pr_Sobresaliente;t6_Notable;f_Suspenso
81854;g_911;ex_NP;pr_NP;t6_NP;f_NP
84978;g_912;ex_Suspenso;pr_Sobresaliente;t6_Suspenso;f_Suspenso
81523;g_911;ex_NP;pr_Aprobado;t6_Suspenso;f_NP
78179;g_911;ex_Aprobado;pr_Sobresaliente;t6_Aprobado;f_Aprobado
52077;g_912;ex_Suspenso;pr_Notable;t6_Aprobado;f_Aprobado
81788;g_911;ex_NP;pr_NP;t6_NP;f_NP
79945;g_911;ex_Aprobado;pr_Sobresaliente;t6_Aprobado;f_Aprobado
66767;g_911;ex_Suspenso;pr_Notable;t6_Aprobado;f_Suspenso
51382;g_912;ex_NP;pr_NP;t6_NP;f_NP
80820;g_911;ex_Suspenso;pr_Suspenso;t6_Suspenso;f_Suspenso
77937;g_911;ex_Notable;pr_Sobresaliente;t6_Aprobado;f_Notable
78129;g_911;ex_Suspenso;pr_Suspenso;t6_Suspenso;f_Suspenso
77141;g_911;ex_Suspenso;pr_Suspenso;t6_Suspenso;f_Suspenso
37496;g_911;ex_NP;pr_NP;t6_NP;f_NP
80458;g_911;ex_Suspenso;pr_Aprobado;t6_Aprobado;f_Suspenso
66262;g_911;ex_Suspenso;pr_Aprobado;t6_Suspenso;f_Suspenso
66130;g_911;ex_Suspenso;pr_Sobresaliente;t6_Suspenso;f_Suspenso
80927;g_911;ex_NP;pr_Aprobado;t6_Suspenso;f_NP
79605;g_911;ex_Notable;pr_Sobresaliente;t6_Aprobado;f_Notable
81469;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
65710;g_911;ex_NP;pr_NP;t6_NP;f_NP
85338;g_912;ex_NP;pr_NP;t6_NP;f_NP
80343;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
81015;g_911;ex_Suspenso;pr_Aprobado;t6_Aprobado;f_Suspenso
81059;g_911;ex_NP;pr_Suspenso;t6_Suspenso;f_NP
80965;g_911;ex_NP;pr_NP;t6_NP;f_NP
79308;g_911;ex_Suspenso;pr_Sobresaliente;t6_Notable;f_Suspenso
80946;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
52274;g_911;ex_NP;pr_NP;t6_NP;f_NP
63689;g_912;ex_Notable;pr_Sobresaliente;t6_Notable;f_Sobresaliente
80780;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
81196;g_911;ex_Suspenso;pr_Notable;t6_Aprobado;f_Suspenso
81162;g_911;ex_NP;pr_Suspenso;t6_Aprobado;f_NP
81508;g_911;ex_Suspenso;pr_Notable;t6_Aprobado;f_Suspenso
66280;g_911;ex_NP;pr_Suspenso;t6_NP;f_NP
81446;g_911;ex_Sobresaliente;pr_Sobresaliente;t6_Notable;f_Mat_honor
81316;g_911;ex_Suspenso;pr_Suspenso;t6_Aprobado;f_Suspenso
85203;g_911;ex_NP;pr_Suspenso;t6_Suspenso;f_NP
